,date,campaign_name,click,ctv,vtv,cost,campaign_budget_total_amount
0,2022-04-01,2025876384,49,5,0,14272.5,88000.0
1,2022-04-02,2025876384,27,2,0,7040.0,88000.0
2,2022-04-03,2025876384,31,3,0,7164.3,88000.0
3,2022-04-04,2025876384,72,0,0,24884.2,88000.0
4,2022-04-05,2025876384,91,1,0,33708.4,88000.0
5,2022-04-06,2025876384,114,3,0,43005.6,88000.0
6,2022-04-07,2025876384,133,4,0,57940.3,88000.0
7,2022-04-08,2025876384,141,3,0,56604.9,88000.0
8,2022-04-09,2025876384,39,1,0,16029.2,88000.0
9,2022-04-10,2025876384,50,3,0,17565.9,88000.0
10,2022-04-11,2025876384,143,1,0,55008.8,88000.0
11,2022-04-12,2025876384,222,5,0,95630.7,88000.0
12,2022-04-13,2025876384,160,8,0,61810.1,88000.0
13,2022-04-14,2025876384,143,0,0,54507.2,88000.0
14,2022-04-15,2025876384,129,3,0,47269.2,88000.0
15,2022-04-16,2025876384,64,1,0,20709.7,88000.0
16,2022-04-17,2025876384,58,1,0,17309.6,88000.0
17,2022-04-18,2025876384,128,5,0,48544.1,88000.0
18,2022-04-19,2025876384,132,2,0,45586.2,88000.0
19,2022-04-20,2025876384,131,7,0,51511.9,88000.0
20,2022-04-21,2025876384,125,2,0,44402.6,88000.0
21,2022-04-22,2025876384,119,2,0,42885.7,88000.0
22,2022-04-23,2025876384,54,1,0,19993.6,88000.0
23,2022-04-24,2025876384,67,2,0,21611.7,88000.0
24,2022-04-25,2025876384,131,3,0,52125.7,88000.0
25,2022-04-26,2025876384,158,4,0,60945.5,88000.0
26,2022-04-27,2025876384,124,2,0,47417.7,88000.0
27,2022-04-28,2025876384,101,2,0,39224.9,88000.0
28,2022-04-29,2025876384,73,5,0,23815.0,88000.0
29,2022-04-30,2025876384,55,2,0,17386.6,88000.0
30,2022-05-01,2025876384,64,2,0,22051.7,88000.0
31,2022-05-02,2025876384,69,2,0,22918.5,88000.0
32,2022-05-03,2025876384,36,1,0,11302.5,88000.0
33,2022-05-04,2025876384,47,0,0,16112.8,88000.0
34,2022-05-05,2025876384,41,2,0,14305.5,88000.0
35,2022-05-06,2025876384,103,0,0,38243.7,88000.0
36,2022-05-07,2025876384,50,1,0,17268.9,88000.0
37,2022-05-08,2025876384,40,0,0,10479.7,88000.0
38,2022-05-09,2025876384,120,0,0,46568.5,88000.0
39,2022-05-10,2025876384,96,1,0,33429.0,88000.0
40,2022-05-11,2025876384,68,3,0,23225.4,88000.0
41,2022-05-12,2025876384,81,3,0,25883.0,88000.0
42,2022-05-13,2025876384,74,0,0,23285.9,88000.0
43,2022-05-14,2025876384,30,0,0,6789.2,88000.0
44,2022-05-15,2025876384,29,2,0,9011.2,88000.0
45,2022-05-16,2025876384,81,2,0,24051.5,88000.0
46,2022-05-17,2025876384,78,2,0,29209.4,88000.0
47,2022-05-18,2025876384,91,2,0,29944.2,88000.0
48,2022-05-19,2025876384,80,1,0,28759.5,88000.0
49,2022-05-20,2025876384,104,1,0,35828.1,88000.0
50,2022-05-21,2025876384,50,3,0,15622.2,88000.0
51,2022-05-22,2025876384,35,3,0,10518.2,88000.0
52,2022-05-23,2025876384,83,3,0,23024.1,88000.0
53,2022-05-24,2025876384,101,3,0,29454.7,88000.0
54,2022-05-25,2025876384,112,5,0,38728.8,88000.0
55,2022-05-26,2025876384,99,7,0,30325.9,88000.0
56,2022-05-27,2025876384,109,3,0,37143.7,88000.0
57,2022-05-28,2025876384,45,0,0,16864.1,88000.0
58,2022-05-29,2025876384,43,0,0,12305.7,88000.0
59,2022-05-30,2025876384,125,4,0,46233.0,88000.0
60,2022-05-31,2025876384,150,0,0,55243.1,88000.0
61,2022-06-01,2025876384,155,2,0,53362.1,88000.0
62,2022-06-02,2025876384,171,4,0,66013.2,88000.0
63,2022-06-03,2025876384,132,1,0,45116.5,88000.0
64,2022-06-04,2025876384,46,0,0,14687.2,88000.0
65,2022-06-05,2025876384,51,0,0,13063.6,88000.0
66,2022-06-06,2025876384,120,3,0,37973.1,88000.0
67,2022-06-07,2025876384,98,1,0,35194.5,88000.0
68,2022-06-08,2025876384,100,2,0,37731.1,88000.0
69,2022-06-09,2025876384,73,1,0,21401.6,88000.0
70,2022-06-10,2025876384,91,5,0,24029.5,88000.0
71,2022-06-11,2025876384,32,1,0,7568.0,88000.0
72,2022-06-12,2025876384,33,1,0,7657.1,88000.0
73,2022-06-13,2025876384,83,0,0,20630.5,110000.0
74,2022-06-14,2025876384,72,2,0,20248.8,110000.0
75,2022-06-15,2025876384,104,1,0,27997.2,110000.0
76,2022-06-16,2025876384,70,3,0,20556.8,110000.0
77,2022-06-17,2025876384,119,3,0,39496.6,110000.0
78,2022-06-18,2025876384,48,0,0,12179.2,110000.0
79,2022-06-19,2025876384,39,0,0,9931.9,110000.0
80,2022-06-20,2025876384,84,2,0,23215.5,110000.0
81,2022-06-21,2025876384,124,0,0,37119.5,110000.0
82,2022-06-22,2025876384,125,0,0,45747.9,110000.0
83,2022-06-23,2025876384,94,3,0,33038.5,110000.0
84,2022-06-24,2025876384,73,0,0,22375.1,110000.0
85,2022-06-25,2025876384,29,2,0,7319.4,110000.0
86,2022-06-26,2025876384,24,0,0,6105.0,110000.0
87,2022-06-27,2025876384,59,2,0,16890.5,110000.0
88,2022-06-28,2025876384,99,0,0,30123.5,110000.0
89,2022-06-29,2025876384,71,3,0,20419.3,110000.0
90,2022-06-30,2025876384,64,0,0,19088.3,110000.0
91,2022-07-01,2025876384,66,2,0,20772.4,110000.0
92,2022-07-02,2025876384,19,0,0,7581.2,110000.0
93,2022-07-03,2025876384,26,2,0,9324.7,110000.0
94,2022-07-04,2025876384,72,3,0,20465.5,110000.0
95,2022-07-05,2025876384,70,0,0,21828.4,110000.0
96,2022-07-06,2025876384,74,1,0,20863.7,110000.0
97,2022-07-07,2025876384,69,2,0,18178.6,110000.0
98,2022-07-08,2025876384,42,2,0,14071.2,110000.0
99,2022-07-09,2025876384,24,0,0,6512.0,110000.0
100,2022-07-10,2025876384,21,1,0,5826.7,110000.0
101,2022-07-11,2025876384,46,0,0,12425.6,110000.0
102,2022-07-12,2025876384,59,1,0,14441.9,110000.0
103,2022-07-13,2025876384,67,1,0,21417.0,110000.0
104,2022-07-14,2025876384,78,1,0,24213.2,110000.0
105,2022-07-15,2025876384,61,0,0,19542.6,110000.0
106,2022-07-16,2025876384,26,2,0,8462.3,110000.0
107,2022-07-17,2025876384,32,1,0,7444.8,110000.0
108,2022-07-18,2025876384,28,1,0,7385.4,110000.0
109,2022-07-19,2025876384,75,4,0,25113.0,110000.0
110,2022-07-20,2025876384,113,5,0,33825.0,110000.0
111,2022-07-21,2025876384,69,0,0,20920.9,110000.0
112,2022-07-22,2025876384,59,0,0,15761.9,110000.0
113,2022-07-23,2025876384,30,0,0,5821.2,110000.0
114,2022-07-24,2025876384,35,1,0,9886.8,110000.0
115,2022-07-25,2025876384,60,2,0,18472.3,110000.0
116,2022-07-26,2025876384,96,3,0,24592.7,110000.0
117,2022-07-27,2025876384,103,1,0,30814.3,110000.0
118,2022-07-28,2025876384,112,5,0,36591.5,110000.0
119,2022-07-29,2025876384,98,3,0,33759.0,110000.0
120,2022-07-30,2025876384,34,0,0,10731.6,110000.0
121,2022-07-31,2025876384,42,0,0,15770.7,110000.0
122,2022-08-01,2025876384,141,4,0,46279.2,110000.0
123,2022-08-02,2025876384,142,2,0,52536.0,110000.0
124,2022-08-03,2025876384,152,1,0,48810.3,110000.0
125,2022-08-04,2025876384,138,2,0,45657.7,110000.0
126,2022-08-05,2025876384,122,1,0,42872.5,110000.0
127,2022-08-06,2025876384,42,0,0,12269.4,110000.0
128,2022-08-07,2025876384,55,0,0,17061.0,110000.0
129,2022-08-08,2025876384,71,2,0,23427.8,110000.0
130,2022-08-09,2025876384,75,1,0,27038.0,110000.0
131,2022-08-10,2025876384,56,1,0,17715.5,110000.0
132,2022-08-11,2025876384,33,0,0,9817.5,110000.0
133,2022-08-12,2025876384,30,0,0,8714.2,110000.0
134,2022-08-13,2025876384,16,0,0,5240.4,110000.0
135,2022-08-14,2025876384,23,0,0,5496.7,110000.0
136,2022-08-15,2025876384,32,1,0,10580.9,110000.0
137,2022-08-16,2025876384,33,1,0,11509.3,110000.0
138,2022-08-17,2025876384,41,2,0,11690.8,110000.0
139,2022-08-18,2025876384,40,0,0,13602.6,110000.0
140,2022-08-19,2025876384,38,1,0,10085.9,110000.0
141,2022-08-20,2025876384,16,0,0,4387.9,110000.0
142,2022-08-21,2025876384,14,0,0,2703.8,110000.0
143,2022-08-22,2025876384,43,4,0,13527.8,110000.0
144,2022-08-23,2025876384,29,4,0,9293.9,110000.0
145,2022-08-24,2025876384,53,0,0,15789.4,110000.0
146,2022-08-25,2025876384,58,1,0,17586.8,110000.0
147,2022-08-26,2025876384,47,0,0,17363.5,110000.0
148,2022-08-27,2025876384,29,0,0,8320.4,110000.0
149,2022-08-28,2025876384,19,0,0,5415.3,110000.0
150,2022-08-29,2025876384,62,2,0,19296.2,110000.0
151,2022-08-30,2025876384,87,1,0,23824.9,110000.0
152,2022-08-31,2025876384,50,4,0,13070.2,16500.0
153,2022-09-01,2025876384,56,2,0,16292.1,55000.0
154,2022-09-02,2025876384,50,0,0,14239.5,55000.0
155,2022-09-03,2025876384,26,0,0,5622.1,55000.0
156,2022-09-04,2025876384,28,0,0,7394.2,55000.0
157,2022-09-05,2025876384,55,1,0,13666.4,55000.0
158,2022-09-06,2025876384,59,3,0,13127.4,55000.0
159,2022-09-07,2025876384,49,0,0,15296.6,55000.0
160,2022-09-08,2025876384,56,4,0,19428.2,55000.0
161,2022-09-09,2025876384,55,2,0,16987.3,77000.0
162,2022-09-10,2025876384,20,0,0,6421.8,77000.0
163,2022-09-11,2025876384,10,0,0,1593.9,77000.0
164,2022-09-12,2025876384,32,2,0,10896.6,77000.0
165,2022-09-13,2025876384,51,0,0,16264.6,77000.0
166,2022-09-14,2025876384,56,0,0,19192.8,77000.0
167,2022-09-15,2025876384,72,3,0,23337.6,77000.0
168,2022-09-16,2025876384,57,0,0,21772.3,77000.0
169,2022-09-17,2025876384,28,0,0,7340.3,77000.0
170,2022-09-18,2025876384,51,2,0,15888.4,77000.0
171,2022-09-19,2025876384,34,3,0,11754.6,77000.0
172,2022-09-20,2025876384,63,1,0,18178.6,77000.0
173,2022-09-21,2025876384,64,0,0,16830.0,77000.0
174,2022-09-22,2025876384,73,0,0,26083.2,77000.0
175,2022-09-23,2025876384,36,2,0,8845.1,77000.0
176,2022-09-24,2025876384,36,0,0,9301.6,77000.0
177,2022-09-25,2025876384,33,0,0,9548.0,77000.0
178,2022-09-26,2025876384,82,1,0,30226.9,77000.0
179,2022-09-27,2025876384,64,1,0,21023.2,77000.0
180,2022-09-28,2025876384,64,1,0,27346.0,77000.0
181,2022-09-29,2025876384,89,0,0,29196.2,77000.0
182,2022-09-30,2025876384,65,0,0,22332.2,77000.0
183,2022-10-01,2025876384,23,0,0,6046.7,77000.0
184,2022-10-02,2025876384,44,0,0,11192.5,77000.0
185,2022-10-03,2025876384,73,2,0,28035.7,77000.0
186,2022-10-04,2025876384,41,0,0,12775.4,77000.0
187,2022-10-05,2025876384,69,1,0,24168.1,77000.0
188,2022-10-06,2025876384,93,3,0,32502.8,77000.0
189,2022-10-07,2025876384,112,0,0,37617.8,77000.0
190,2022-10-08,2025876384,48,1,0,14183.4,77000.0
191,2022-10-09,2025876384,39,0,0,12687.4,77000.0
192,2022-10-10,2025876384,42,1,0,13742.3,77000.0
193,2022-10-11,2025876384,67,2,0,21579.8,77000.0
194,2022-10-12,2025876384,51,3,0,15896.1,77000.0
195,2022-10-13,2025876384,85,0,0,28010.4,77000.0
196,2022-10-14,2025876384,48,0,0,14894.0,77000.0
197,2022-10-15,2025876384,35,1,0,12799.6,77000.0
198,2022-10-16,2025876384,35,1,0,10263.0,77000.0
199,2022-10-17,2025876384,54,0,0,19127.9,77000.0
200,2022-10-18,2025876384,71,1,0,23548.8,77000.0
201,2022-10-19,2025876384,87,2,0,31840.6,77000.0
202,2022-10-20,2025876384,117,1,0,44168.3,77000.0
203,2022-10-21,2025876384,77,2,0,30171.9,77000.0
204,2022-10-22,2025876384,36,1,0,10539.1,77000.0
205,2022-10-23,2025876384,30,2,0,8715.3,77000.0
206,2022-10-24,2025876384,79,3,0,27764.0,77000.0
207,2022-10-25,2025876384,44,0,0,14179.0,77000.0
208,2022-10-26,2025876384,48,0,0,13413.4,77000.0
209,2022-10-27,2025876384,51,1,0,18465.7,77000.0
210,2022-10-28,2025876384,46,1,0,17208.4,77000.0
211,2022-10-29,2025876384,11,0,0,2795.1,77000.0
212,2022-10-30,2025876384,18,0,0,5184.3,77000.0
213,2022-10-31,2025876384,54,0,0,15158.0,77000.0
214,2022-11-01,2025876384,66,0,0,19389.7,77000.0
215,2022-11-02,2025876384,52,4,0,16937.8,77000.0
216,2022-11-03,2025876384,16,1,0,5393.3,77000.0
217,2022-11-04,2025876384,32,3,0,7020.2,77000.0
218,2022-11-05,2025876384,16,0,0,3905.0,77000.0
219,2022-11-06,2025876384,17,0,0,3256.0,77000.0
220,2022-11-07,2025876384,25,0,0,7643.9,77000.0
221,2022-11-08,2025876384,42,0,0,11075.9,77000.0
222,2022-11-09,2025876384,50,3,0,18276.5,77000.0
223,2022-11-10,2025876384,72,0,0,28212.8,77000.0
224,2022-11-11,2025876384,47,1,0,15412.1,77000.0
225,2022-11-12,2025876384,32,0,0,11391.6,77000.0
226,2022-11-13,2025876384,22,0,0,6304.1,77000.0
227,2022-11-14,2025876384,48,0,0,16685.9,77000.0
228,2022-11-15,2025876384,73,2,0,28864.0,77000.0
229,2022-11-16,2025876384,85,0,0,32796.5,77000.0
230,2022-11-17,2025876384,111,2,0,43725.0,77000.0
231,2022-11-18,2025876384,87,0,0,37775.1,77000.0
232,2022-11-19,2025876384,20,1,0,5772.8,77000.0
233,2022-11-20,2025876384,34,1,0,7397.5,77000.0
234,2022-11-21,2025876384,56,2,0,18001.5,77000.0
235,2022-11-22,2025876384,53,1,0,21542.4,77000.0
236,2022-11-23,2025876384,36,0,0,12943.7,77000.0
237,2022-11-24,2025876384,62,1,0,26581.5,77000.0
238,2022-11-25,2025876384,94,2,0,41929.8,77000.0
239,2022-11-26,2025876384,47,2,0,15459.4,77000.0
240,2022-11-27,2025876384,37,2,0,13362.8,77000.0
241,2022-11-28,2025876384,126,2,0,48888.4,77000.0
242,2022-11-29,2025876384,131,0,0,47606.9,77000.0
243,2022-11-30,2025876384,159,1,0,71914.7,77000.0
244,2022-12-01,2025876384,132,5,0,45780.9,77000.0
245,2022-12-02,2025876384,106,4,0,41202.7,77000.0
246,2022-12-03,2025876384,48,1,0,18646.1,77000.0
247,2022-12-04,2025876384,68,0,0,20178.4,77000.0
248,2022-12-05,2025876384,128,5,0,56206.7,77000.0
249,2022-12-06,2025876384,121,1,0,59686.0,77000.0
250,2022-12-07,2025876384,109,0,0,45551.0,77000.0
251,2022-12-08,2025876384,178,3,0,79322.1,77000.0
252,2022-12-09,2025876384,172,2,0,79009.7,77000.0
253,2022-12-10,2025876384,70,0,0,29132.4,77000.0
254,2022-12-11,2025876384,62,0,0,23883.2,77000.0
255,2022-12-12,2025876384,139,1,0,67030.7,77000.0
256,2022-12-13,2025876384,129,3,0,54496.2,77000.0
257,2022-12-14,2025876384,125,2,0,55743.6,77000.0
258,2022-12-15,2025876384,98,3,0,45177.0,77000.0
259,2022-12-16,2025876384,99,3,0,41031.1,77000.0
260,2022-12-17,2025876384,24,0,0,4826.8,77000.0
261,2022-12-18,2025876384,32,0,0,11775.5,77000.0
262,2022-12-19,2025876384,79,1,0,27489.0,77000.0
263,2022-12-20,2025876384,87,1,0,37209.7,77000.0
264,2022-12-21,2025876384,79,0,0,28847.5,27500.0
265,2022-12-22,2025876384,73,2,0,28859.6,27500.0
266,2022-12-23,2025876384,56,1,0,21155.2,22000.0
267,2022-12-24,2025876384,16,0,0,4271.3,22000.0
268,2022-12-25,2025876384,14,0,0,3625.6,22000.0
269,2022-12-26,2025876384,31,0,0,10270.7,11000.0
270,2022-12-27,2025876384,26,2,0,12232.0,11000.0
271,2022-12-28,2025876384,33,0,0,11535.7,11000.0
272,2022-12-29,2025876384,32,1,0,9201.5,11000.0
273,2022-12-30,2025876384,15,0,0,4690.4,11000.0
274,2022-12-31,2025876384,19,0,0,5281.1,11000.0
275,2023-01-01,2025876384,9,1,0,1541.1,33000.0
276,2023-01-02,2025876384,19,2,0,5599.0,33000.0
277,2023-01-03,2025876384,21,1,0,7090.6,33000.0
278,2023-01-04,2025876384,47,0,0,13105.4,33000.0
279,2023-01-05,2025876384,197,7,0,65365.3,55000.0
280,2023-01-06,2025876384,191,2,0,60977.4,55000.0
281,2023-01-07,2025876384,79,3,0,19850.6,55000.0
282,2023-01-08,2025876384,62,0,0,16104.0,55000.0
283,2023-01-09,2025876384,75,1,0,16276.7,55000.0
284,2023-01-10,2025876384,183,6,0,45493.8,66000.0
285,2023-01-11,2025876384,191,3,0,51669.2,66000.0
286,2023-01-12,2025876384,178,8,0,50063.2,66000.0
287,2023-01-13,2025876384,173,7,0,54498.4,66000.0
288,2023-01-14,2025876384,64,3,0,12135.2,66000.0
289,2023-01-15,2025876384,39,1,0,8781.3,66000.0
290,2023-01-16,2025876384,141,8,0,35087.8,66000.0
291,2023-01-17,2025876384,143,8,0,38181.0,66000.0
292,2023-01-18,2025876384,146,2,0,50957.5,66000.0
293,2023-01-19,2025876384,155,5,0,46679.6,66000.0
294,2023-01-20,2025876384,152,4,0,51337.0,22000.0
295,2023-01-21,2025876384,68,2,0,17112.7,22000.0
296,2023-01-22,2025876384,61,3,0,13068.0,22000.0
297,2023-01-23,2025876384,106,5,0,37089.8,22000.0
298,2023-01-24,2025876384,76,6,0,24426.6,22000.0
299,2023-01-25,2025876384,81,8,0,22385.0,22000.0
300,2023-01-26,2025876384,77,3,0,22016.5,22000.0
301,2023-01-27,2025876384,75,4,0,20612.9,22000.0
302,2023-01-28,2025876384,58,1,0,15240.5,22000.0
303,2023-01-29,2025876384,69,6,0,13098.8,22000.0
304,2023-01-30,2025876384,120,4,0,34954.7,22000.0
305,2023-01-31,2025876384,62,2,0,10995.6,11000.0
306,2023-02-01,2025876384,120,0,0,39256.8,44000.0
307,2023-02-02,2025876384,159,6,0,50904.7,44000.0
308,2023-02-03,2025876384,148,4,0,42764.7,44000.0
309,2023-02-04,2025876384,71,3,0,12454.2,44000.0
310,2023-02-05,2025876384,59,1,0,14545.3,44000.0
311,2023-02-06,2025876384,137,1,0,36713.6,44000.0
312,2023-02-07,2025876384,151,6,0,34689.6,44000.0
313,2023-02-08,2025876384,176,6,0,40802.3,44000.0
314,2023-02-09,2025876384,154,10,0,39008.2,44000.0
315,2023-02-10,2025876384,112,1,0,25951.2,44000.0
316,2023-02-11,2025876384,83,1,0,15457.2,44000.0
317,2023-02-12,2025876384,126,3,0,24175.8,44000.0
318,2023-02-13,2025876384,212,8,0,54028.7,44000.0
319,2023-02-14,2025876384,178,3,0,60684.8,44000.0
320,2023-02-15,2025876384,187,3,0,50220.5,44000.0
321,2023-02-16,2025876384,208,5,0,62360.1,44000.0
322,2023-02-17,2025876384,136,9,0,45894.2,44000.0
323,2023-02-18,2025876384,72,4,0,12142.9,44000.0
324,2023-02-19,2025876384,69,0,0,11299.2,44000.0
325,2023-02-20,2025876384,115,1,0,36791.7,44000.0
326,2023-02-21,2025876384,191,7,0,47086.6,44000.0
327,2023-02-22,2025876384,163,6,0,38348.2,44000.0
328,2023-02-23,2025876384,103,2,0,21122.2,44000.0
329,2023-02-24,2025876384,166,2,0,46391.4,44000.0
330,2023-02-25,2025876384,107,1,0,19058.6,44000.0
331,2023-02-26,2025876384,149,4,0,27010.5,44000.0
332,2023-02-27,2025876384,102,5,0,27890.5,27500.0
333,2023-02-28,2025876384,142,3,0,33550.0,40700.0
334,2023-03-01,2025876384,175,6,0,39927.8,40700.0
335,2023-03-02,2025876384,172,11,0,38445.0,50600.0
336,2023-03-03,2025876384,188,6,0,42554.6,50600.0
337,2023-03-04,2025876384,120,4,0,26991.8,50600.0
338,2023-03-05,2025876384,105,1,0,19145.5,50600.0
339,2023-03-06,2025876384,143,1,0,38717.8,50600.0
340,2023-03-07,2025876384,199,6,0,54143.1,50600.0
341,2023-03-08,2025876384,180,2,0,39496.6,50600.0
342,2023-03-09,2025876384,200,3,0,41284.1,50600.0
343,2023-03-10,2025876384,150,7,0,34729.2,50600.0
344,2023-03-11,2025876384,65,2,0,11724.9,50600.0
345,2023-03-12,2025876384,78,1,0,17458.1,50600.0
346,2023-03-13,2025876384,130,5,0,33690.8,50600.0
347,2023-03-14,2025876384,144,5,0,31013.4,50600.0
348,2023-03-15,2025876384,152,13,0,34057.1,49500.0
349,2023-03-16,2025876384,175,14,0,46953.5,49500.0
350,2023-03-17,2025876384,160,5,0,34592.8,49500.0
351,2023-03-18,2025876384,108,5,0,27236.0,49500.0
352,2023-03-19,2025876384,108,0,0,22949.3,49500.0
353,2023-03-20,2025876384,165,6,0,40373.3,49500.0
354,2023-03-21,2025876384,124,4,0,28905.8,49500.0
355,2023-03-22,2025876384,214,7,0,58021.7,49500.0
356,2023-03-23,2025876384,246,11,0,71436.2,49500.0
357,2023-03-24,2025876384,150,4,0,39768.3,39600.0
358,2023-03-25,2025876384,106,4,0,26778.4,39600.0
359,2023-03-26,2025876384,148,3,0,31510.6,39600.0
360,2023-03-27,2025876384,161,4,0,41955.1,39600.0
361,2023-03-28,2025876384,193,7,0,55025.3,39600.0
362,2023-03-29,2025876384,185,7,0,44094.6,39600.0
363,2023-03-30,2025876384,221,5,0,41314.9,50600.0
364,2023-03-31,2025876384,169,4,0,37082.1,50600.0
365,2023-04-01,2025876384,84,2,0,17842.0,72600.0
366,2023-04-02,2025876384,105,4,0,20026.6,72600.0
367,2023-04-03,2025876384,156,2,0,36894.0,72600.0
368,2023-04-04,2025876384,161,4,0,36072.3,72600.0
